Date,Rank,Alpha,ISIN,Instrument,Primary,ICB Sub-Sector,Status,Free Float Pass,Liquidity Pass,Gross Market Capitalisation,ALSI Universe,Cumulative Market Capitalisation,ALSI Current,ALSI Change,ALSI New,Index Current,Index Change,Index New,TOPI Current,TOPI Change,TOPI New,DTOP Current,DTOP Change,DTOP New,RESI Current,RESI Change,RESI New,FINI Current,FINI Change,FINI New,INDI Current,INDI Change,INDI New,PCAP Current,PCAP Change,PCAP New,SAPY Current,SAPY Change,SAPY New,ALTI Universe,ALTI Current,ALTI Change,ALTI New,Board,Notes
2018-03-19 00:00:00.000,247,RTN,ZAE000250395,Rex Trueform Group -N-,NULL,5371,,TRUE,FALSE,354710120,TRUE,"0,999497197716245",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,NULL,RTO,ZAE000250387,Rex Trueform Group Ltd,RTN,5371,,TRUE,FALSE,66833515,TRUE,"0,999501787923671",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,15,S32,AU000000S320,South32 Limited,NULL,1775,Foreign,TRUE,TRUE,159146556584,TRUE,"0,688075658797394",ALSI,NULL,ALSI,LRGC,NULL,LRGC,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,Passed Global FF
2018-03-19 00:00:00.000,88,SAC,ZAE000203238,SA Corp Real Estate Ltd,NULL,8674,,TRUE,TRUE,"13665722419,8",TRUE,"0,951437398917692",ALSI,NULL,ALSI,MIDC,NULL,MIDC,"    ",,"    ","    ",,"    ",NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,PCAP,,PCAP,SAPY,,SAPY,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,46,SAP,ZAE000006284,Sappi Ltd,NULL,1737,,TRUE,TRUE,43947903267,TRUE,"0,869103038460983",ALSI,NULL,ALSI,LRGC,NULL,LRGC,TOPI,,TOPI,DTOP,,DTOP,RESI,,RESI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,184,SAR,ZAE000188280,Safari Investments RSA Ltd,NULL,8672,,TRUE,FALSE,"2162740031,2",TRUE,"0,99472168026846",FLED,NULL,FLED,"    ",NULL,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,8,SBK,ZAE000109815,Standard Bank Group Ltd,NULL,8355,,TRUE,TRUE,349491976992,TRUE,"0,583973646269133",ALSI,NULL,ALSI,LRGC,NULL,LRGC,TOPI,,TOPI,DTOP,,DTOP,NULL,NULL,NULL,FINI,,FINI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,NULL,SBV,ZAE000006417,Sabvest Ltd,SVN,8985,,TRUE,FALSE,"646357031,4",TRUE,"0,995735056929177",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,182,SCD,GB00BY7R8K77,Schroder Eur REIT plc,NULL,8674,Foreign,TRUE,TRUE,"2261453540,26",TRUE,"0,994419366422382",FLED,NULL,FLED,"    ",NULL,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,231,SCP,ZAE000198586,Stellar Cap Partners Ltd,NULL,8985,,TRUE,TRUE,"612768100,92",TRUE,"0,998869806432464",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,229,SDC,ZAE000249645,Sandown Capital Ltd,,8985,,TRUE,TRUE,"700803657,6",TRUE,"0,998781731172465",ALSI,ALSI DEL; FLED ADD,FLED,SMLC,SMLC DEL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,146,SDO,ZAE000248662,Stadio Holdings Limited,NULL,5377,,TRUE,TRUE,4756201476,TRUE,"0,985284909988431",ALSI,NULL,ALSI,MIDC,MIDC DEL; SMLC ADD,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,200,SEA,ZAE000228995,Spear REIT Limited,NULL,8674,,TRUE,TRUE,"1608907004,1",TRUE,"0,996647797673741",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,237,SEP,ZAE000138459,Sephaku Holdings Ltd,NULL,2353,,TRUE,TRUE,"556822309,77",TRUE,"0,999108439884121",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,193,SFN,ZAE000006565,Sasfin Holdings Ltd,NULL,8777,,TRUE,TRUE,"1695502638,09",TRUE,"0,995851506120888",FLED,NULL,FLED,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,66,SGL,ZAE000173951,Sibanye Gold Limited,NULL,1777,,TRUE,TRUE,"30205268158,87",TRUE,"0,918989475916253",ALSI,NULL,ALSI,MIDC,NULL,MIDC,"    ",,"    ","    ",,"    ",RESI,,RESI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,172,SHG,ZAE000240198,"Sea Harvest Group Ltd ",NULL,3573,,TRUE,TRUE,3016354884,TRUE,"0,992490065578612",FLED,NULL,FLED,"    ",NULL,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,17,SHP,ZAE000012084,Shoprite Holdings Ltd,NULL,5337,,TRUE,TRUE,"146113830459,18",TRUE,"0,708350166419999",ALSI,NULL,ALSI,LRGC,NULL,LRGC,TOPI,,TOPI,DTOP,,DTOP,NULL,NULL,NULL,NULL,NULL,NULL,INDI,,INDI,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,12,SLM,ZAE000070660,Sanlam Limited,NULL,8575,,TRUE,TRUE,"206594751420,16",TRUE,"0,651578480957376",ALSI,NULL,ALSI,LRGC,NULL,LRGC,TOPI,,TOPI,DTOP,,DTOP,NULL,NULL,NULL,FINI,,FINI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,75,SNH,NL0011375019,Steinhoff Int Hldgs N.V.,NULL,3726,Foreign,TRUE,TRUE,"23516592521,28",TRUE,"0,935010545578484",ALSI,NULL,ALSI,LRGC,LRGC DEL; MIDC ADD,MIDC,TOPI,TOPI DEL,"    ",DTOP,DTOP DEL,"    ",NULL,NULL,NULL,NULL,NULL,NULL,INDI,INDI DEL,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2018-03-19 00:00:00.000,59,SNT,ZAE000093779,Santam Limited,NULL,8536,,TRUE,TRUE,"34732845880,56",TRUE,"0,903853806000026",ALSI,NULL,ALSI,MIDC,NULL,MIDC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
